Species,English name,Family,Species_qts
Pseudoplatystoma fasciatum,Barred sorubim,Pimelodidae,"""Pseudoplatystoma fasciatum"""
Pseudoplatystoma magdaleniatum,,Pimelodidae,"""Pseudoplatystoma magdaleniatum"""
Pseudoplatystoma tigrinum,Tiger sorubim,Pimelodidae,"""Pseudoplatystoma tigrinum"""
Pseudopleuronectes americanus,Winter flounder,Pleuronectidae,"""Pseudopleuronectes americanus"""
Pseudopleuronectes herzensteini,Yellow striped flounder,Pleuronectidae,"""Pseudopleuronectes herzensteini"""
Pseudopleuronectes yokohamae,Marbled flounder,Pleuronectidae,"""Pseudopleuronectes yokohamae"""
Pseudorasbora parva,Stone moroko,Gobionidae,"""Pseudorasbora parva"""
Pseudorhombus arsius,Largetooth flounder,Paralichthyidae,"""Pseudorhombus arsius"""
Pseudorhombus cinnamoneus,Cinnamon flounder,Paralichthyidae,"""Pseudorhombus cinnamoneus"""
Pseudorhombus elevatus,Deep flounder,Paralichthyidae,"""Pseudorhombus elevatus"""
Pseudorhombus javanicus,Javan flounder,Paralichthyidae,"""Pseudorhombus javanicus"""
Pseudoscaphirhynchus kaufmanni,Amu Darya sturgeon,Acipenseridae,"""Pseudoscaphirhynchus kaufmanni"""
Pseudotolithus elongatus,Bobo croaker,Sciaenidae,"""Pseudotolithus elongatus"""
Pseudotolithus senegalensis,Cassava croaker,Sciaenidae,"""Pseudotolithus senegalensis"""
Pseudotolithus typus,Longneck croaker,Sciaenidae,"""Pseudotolithus typus"""
Pseudotriakis microdon,False catshark,Pseudotriakidae,"""Pseudotriakis microdon"""
Pseudoxiphophorus bimaculatus,Twospot livebearer,Poeciliidae,"""Pseudoxiphophorus bimaculatus"""
Pseudupeneus maculatus,Spotted goatfish,Mullidae,"""Pseudupeneus maculatus"""
Pseudupeneus prayensis,West African goatfish,Mullidae,"""Pseudupeneus prayensis"""
Pterapogon kauderni,Banggai cardinal fish,Apogonidae,"""Pterapogon kauderni"""
Pterocaesio pisang,Banana fusilier,Caesionidae,"""Pterocaesio pisang"""
Pterodoras granulosus,Granulated catfish,Doradidae,"""Pterodoras granulosus"""
Pterogymnus laniarius,Panga seabream,Sparidae,"""Pterogymnus laniarius"""
Pterois volitans,Red lionfish,Scorpaenidae,"""Pterois volitans"""
Pteroplatytrygon violacea,Pelagic stingray,Dasyatidae,"""Pteroplatytrygon violacea"""
Pteroscion peli,Boe drum,Sciaenidae,"""Pteroscion peli"""
Pterygoplichthys disjunctivus,Vermiculated sailfin catfish,Loricariidae,"""Pterygoplichthys disjunctivus"""
Ptychobarbus dipogon,,Cyprinidae,"""Ptychobarbus dipogon"""
Ptychocheilus oregonensis,Northern pikeminnow,Leuciscidae,"""Ptychocheilus oregonensis"""
Pungitius pungitius,Ninespine stickleback,Gasterosteidae,"""Pungitius pungitius"""
Puntius chola,Swamp barb,Cyprinidae,"""Puntius chola"""
Puntius dorsalis,Long snouted barb,Cyprinidae,"""Puntius dorsalis"""
Puntius sophore,Pool barb,Cyprinidae,"""Puntius sophore"""
Pycnochromis margaritifer,Bicolor chromis,Pomacentridae,"""Pycnochromis margaritifer"""
Pygocentrus nattereri,Red piranha,Serrasalmidae,"""Pygocentrus nattereri"""
Pylodictis olivaris,Flathead catfish,Ictaluridae,"""Pylodictis olivaris"""
Rachycentron canadum,Cobia,Rachycentridae,"""Rachycentron canadum"""
Raconda russeliana,Raconda,Pristigasteridae,"""Raconda russeliana"""
Raiamas moorii,Lake Rukwa minnow,Danionidae,"""Raiamas moorii"""
Raja asterias,Mediterranean starry ray,Rajidae,"""Raja asterias"""
Raja brachyura,Blonde ray,Rajidae,"""Raja brachyura"""
Raja clavata,Thornback ray,Rajidae,"""Raja clavata"""
Raja microocellata,Small-eyed ray,Rajidae,"""Raja microocellata"""
Raja miraletus,Brown ray,Rajidae,"""Raja miraletus"""
Raja montagui,Spotted ray,Rajidae,"""Raja montagui"""
Raja polystigma,Speckled ray,Rajidae,"""Raja polystigma"""
Raja undulata,Undulate ray,Rajidae,"""Raja undulata"""
Rasbora bankanensis,,Danionidae,"""Rasbora bankanensis"""
Rasbora daniconius,Slender rasbora,Danionidae,"""Rasbora daniconius"""
Rasbora dusonensis,Rosefin rasbora,Danionidae,"""Rasbora dusonensis"""
Rasbora sumatrana,,Danionidae,"""Rasbora sumatrana"""
Rastrelliger brachysoma,Short mackerel,Scombridae,"""Rastrelliger brachysoma"""
Rastrelliger faughni,Island mackerel,Scombridae,"""Rastrelliger faughni"""
Rastrelliger kanagurta,Indian mackerel,Scombridae,"""Rastrelliger kanagurta"""
Rastrineobola argentea,Silver cyprinid,Danionidae,"""Rastrineobola argentea"""
Reinhardtius hippoglossoides,Greenland halibut,Pleuronectidae,"""Reinhardtius hippoglossoides"""
Retropinna semoni,Australian smelt,Retropinnidae,"""Retropinna semoni"""
Rexea solandri,Silver gemfish,Gempylidae,"""Rexea solandri"""
Rhabdamia gracilis,Luminous cardinalfish,Apogonidae,"""Rhabdamia gracilis"""
Rhabdosargus globiceps,White stumpnose,Sparidae,"""Rhabdosargus globiceps"""
Rhabdosargus haffara,Haffara seabream,Sparidae,"""Rhabdosargus haffara"""
Rhabdosargus sarba,Goldlined seabream,Sparidae,"""Rhabdosargus sarba"""
Rhincodon typus,Whale shark,Rhincodontidae,"""Rhincodon typus"""
Rhinecanthus aculeatus,White-banded triggerfish,Balistidae,"""Rhinecanthus aculeatus"""
Rhinelepis aspera,,Loricariidae,"""Rhinelepis aspera"""
Rhinobatos rhinobatos,Common guitarfish,Rhinobatidae,"""Rhinobatos rhinobatos"""
Rhinogobius cliffordpopei,,Gobiidae,"""Rhinogobius cliffordpopei"""
Rhinogobius giurinus,,Gobiidae,"""Rhinogobius giurinus"""
Rhinomugil corsula,Corsula,Mugilidae,"""Rhinomugil corsula"""
Rhinoptera bonasus,Cownose ray,Rhinopteridae,"""Rhinoptera bonasus"""
Rhinoptera steindachneri,Pacific cownose ray,Rhinopteridae,"""Rhinoptera steindachneri"""
Rhizoprionodon acutus,Milk shark,Carcharhinidae,"""Rhizoprionodon acutus"""
Rhizoprionodon oligolinx,Grey sharpnose shark,Carcharhinidae,"""Rhizoprionodon oligolinx"""
Rhizoprionodon porosus,Caribbean sharpnose shark,Carcharhinidae,"""Rhizoprionodon porosus"""
Rhizoprionodon taylori,Australian sharpnose shark,Carcharhinidae,"""Rhizoprionodon taylori"""
Rhizoprionodon terraenovae,Atlantic sharpnose shark,Carcharhinidae,"""Rhizoprionodon terraenovae"""
Rhodeus amarus,European bitterling,Acheilognathidae,"""Rhodeus amarus"""
Rhodeus ocellatus,Rosy bitterling,Acheilognathidae,"""Rhodeus ocellatus"""
Rhodeus sericeus,Bitterling,Acheilognathidae,"""Rhodeus sericeus"""
Rhomboplites aurorubens,Vermilion snapper,Lutjanidae,"""Rhomboplites aurorubens"""
Rhombosolea leporina,Yellowbelly flounder,Rhombosoleidae,"""Rhombosolea leporina"""
Rhombosolea plebeia,Sand flounder,Rhombosoleidae,"""Rhombosolea plebeia"""
Rhombosolea tapirina,Greenback flounder,Rhombosoleidae,"""Rhombosolea tapirina"""
Rhynchocypris czekanowskii,Czekanowski's minnow,Leuciscidae,"""Rhynchocypris czekanowskii"""
Rhynchocypris percnura,Lake minnow,Leuciscidae,"""Rhynchocypris percnura"""
Rhynchorhamphus georgii,Long billed half beak,Hemiramphidae,"""Rhynchorhamphus georgii"""
Rioraja agassizii,Rio skate,Arhynchobatidae,"""Rioraja agassizii"""
Romanogobio albipinnatus,White-finned gudgeon,Gobionidae,"""Romanogobio albipinnatus"""
Romanogobio belingi,Northern whitefin gudgeon,Gobionidae,"""Romanogobio belingi"""
Romanogobio benacensis,,Gobionidae,"""Romanogobio benacensis"""
Romanogobio ciscaucasicus,North Caucasian longbarbel gudgeon,Gobionidae,"""Romanogobio ciscaucasicus"""
Romanogobio kesslerii,Kessler's gudgeon,Gobionidae,"""Romanogobio kesslerii"""
Romanogobio tanaiticus,Don whitefin gudgeon,Gobionidae,"""Romanogobio tanaiticus"""
Romanogobio tenuicorpus,Amur whitefin gudgeon,Gobionidae,"""Romanogobio tenuicorpus"""
Roncador stearnsii,Spotfin croaker,Sciaenidae,"""Roncador stearnsii"""
Rondeletia loricata,Redmouth whalefish,Rondeletiidae,"""Rondeletia loricata"""
Rostroraja eglanteria,Clearnose skate,Rajidae,"""Rostroraja eglanteria"""
Rostroraja texana,Roundel skate,Rajidae,"""Rostroraja texana"""
Rudarius ercodes,Whitespotted pygmy filefish,Monacanthidae,"""Rudarius ercodes"""
Rutilus caspicus,Caspian roach,Leuciscidae,"""Rutilus caspicus"""
Rutilus frisii,Kutum,Leuciscidae,"""Rutilus frisii"""
Rutilus kutum,,Leuciscidae,"""Rutilus kutum"""
Rutilus rutilus,Roach,Leuciscidae,"""Rutilus rutilus"""
Sabanejewia aurata,Golden spined loach,Cobitidae,"""Sabanejewia aurata"""
Sabanejewia balcanica,Balcan spined loach,Cobitidae,"""Sabanejewia balcanica"""
Sagamichthys abei,Shining tubeshoulder,Platytroctidae,"""Sagamichthys abei"""
Salaria pavo,Peacock blenny,Blenniidae,"""Salaria pavo"""
Salarias patzneri,Patzner's blenny,Blenniidae,"""Salarias patzneri"""
Salariopsis fluviatilis,Freshwater blenny,Blenniidae,"""Salariopsis fluviatilis"""
Salminus brasiliensis,Dorado,Bryconidae,"""Salminus brasiliensis"""
Salmo ferox,,Salmonidae,"""Salmo ferox"""
Salmo lourosensis,,Salmonidae,"""Salmo lourosensis"""
Salmo marmoratus,,Salmonidae,"""Salmo marmoratus"""
Salmo obtusirostris,Adriatic trout,Salmonidae,"""Salmo obtusirostris"""
Salmo salar,Atlantic salmon,Salmonidae,"""Salmo salar"""
Salmo trutta,Sea trout,Salmonidae,"""Salmo trutta"""
Salvelinus alpinus,Arctic char,Salmonidae,"""Salvelinus alpinus"""
Salvelinus fontinalis,Brook trout,Salmonidae,"""Salvelinus fontinalis"""
Salvelinus gracillimus,,Salmonidae,"""Salvelinus gracillimus"""
Salvelinus leucomaenis,Whitespotted char,Salmonidae,"""Salvelinus leucomaenis"""
Salvelinus malma,Dolly varden,Salmonidae,"""Salvelinus malma"""
Salvelinus murta,,Salmonidae,"""Salvelinus murta"""
Salvelinus namaycush,Lake trout,Salmonidae,"""Salvelinus namaycush"""
Salvelinus struanensis,,Salmonidae,"""Salvelinus struanensis"""
Salvelinus thingvallensis,,Salmonidae,"""Salvelinus thingvallensis"""
Salvelinus youngeri,Golden charr,Salmonidae,"""Salvelinus youngeri"""
Sandelia bainsii,Rocky kurper,Anabantidae,"""Sandelia bainsii"""
Sander canadensis,Sauger,Percidae,"""Sander canadensis"""
Sander lucioperca,Pike-perch,Percidae,"""Sander lucioperca"""
Sander vitreus,Walleye,Percidae,"""Sander vitreus"""
Sarcocheilichthys czerskii,Cherskii's thicklip gudgeon,Gobionidae,"""Sarcocheilichthys czerskii"""
Sarcocheilichthys lacustris,,Gobionidae,"""Sarcocheilichthys lacustris"""
Sarda chiliensis,Eastern Pacific bonito,Scombridae,"""Sarda chiliensis"""
Sarda lineolata,Pacific bonito,Scombridae,"""Sarda lineolata"""
Sarda orientalis,Striped bonito,Scombridae,"""Sarda orientalis"""
Sarda sarda,Atlantic bonito,Scombridae,"""Sarda sarda"""
Sardina pilchardus,European pilchard,Alosidae,"""Sardina pilchardus"""
Sardinella albella,White sardinella,Dorosomatidae,"""Sardinella albella"""
Sardinella aurita,Round sardinella,Dorosomatidae,"""Sardinella aurita"""
Sardinella brasiliensis,Brazilian sardinella,Dorosomatidae,"""Sardinella brasiliensis"""
Sardinella fimbriata,Fringescale sardinella,Dorosomatidae,"""Sardinella fimbriata"""
Sardinella gibbosa,Goldstripe sardinella,Dorosomatidae,"""Sardinella gibbosa"""
Sardinella jussieui,Mauritian sardinella,Dorosomatidae,"""Sardinella jussieui"""
Sardinella lemuru,Bali sardinella,Dorosomatidae,"""Sardinella lemuru"""
Sardinella longiceps,Indian oil sardine,Dorosomatidae,"""Sardinella longiceps"""
Sardinella maderensis,Madeiran sardinella,Dorosomatidae,"""Sardinella maderensis"""
Sardinella melanura,Blacktip sardinella,Dorosomatidae,"""Sardinella melanura"""
Sardinella sindensis,Sind sardinella,Dorosomatidae,"""Sardinella sindensis"""
Sardinella tawilis,Freshwater sardinella,Dorosomatidae,"""Sardinella tawilis"""
Sardinella zunasi,Japanese sardinella,Dorosomatidae,"""Sardinella zunasi"""
Sardinops sagax,South American pilchard,Alosidae,"""Sardinops sagax"""
Sargocentron diadema,Crown squirrelfish,Holocentridae,"""Sargocentron diadema"""
Sargocentron microstoma,Smallmouth squirrelfish,Holocentridae,"""Sargocentron microstoma"""
Sargocentron rubrum,Redcoat,Holocentridae,"""Sargocentron rubrum"""
Sargocentron spiniferum,Sabre squirrelfish,Holocentridae,"""Sargocentron spiniferum"""
Sargochromis carlottae,Rainbow happy,Cichlidae,"""Sargochromis carlottae"""
Sargochromis codringtonii,Green happy,Cichlidae,"""Sargochromis codringtonii"""
Sargochromis giardi,Pink happy,Cichlidae,"""Sargochromis giardi"""
Sargochromis mellandi,Snaileater,Cichlidae,"""Sargochromis mellandi"""
Sarmarutilus rubilio,,Leuciscidae,"""Sarmarutilus rubilio"""
Sarotherodon galilaeus,Mango tilapia,Cichlidae,"""Sarotherodon galilaeus"""
Sarotherodon melanotheron,Blackchin tilapia,Cichlidae,"""Sarotherodon melanotheron"""
Sarpa salpa,Salema,Sparidae,"""Sarpa salpa"""
Satanoperca pappaterra,Pantanal eartheater,Cichlidae,"""Satanoperca pappaterra"""
Saurida elongata,Slender lizardfish,Synodontidae,"""Saurida elongata"""
Saurida longimanus,Longfin lizardfish,Synodontidae,"""Saurida longimanus"""
Saurida micropectoralis,Shortfin lizardfish,Synodontidae,"""Saurida micropectoralis"""
Saurida tumbil,Greater lizardfish,Synodontidae,"""Saurida tumbil"""
Saurida undosquamis,Brushtooth lizardfish,Synodontidae,"""Saurida undosquamis"""
Saurogobio dabryi,Chinese lizard gudgeon,Gobionidae,"""Saurogobio dabryi"""
Scaphirhynchus albus,Pallid sturgeon,Acipenseridae,"""Scaphirhynchus albus"""
Scaphirhynchus platorynchus,Shovelnose sturgeon,Acipenseridae,"""Scaphirhynchus platorynchus"""
Scardinius acarnanicus,,Leuciscidae,"""Scardinius acarnanicus"""
Scardinius erythrophthalmus,Rudd,Leuciscidae,"""Scardinius erythrophthalmus"""
Scarus altipinnis,Filament-finned parrotfish,Scaridae,"""Scarus altipinnis"""
Scarus chameleon,Chameleon parrotfish,Scaridae,"""Scarus chameleon"""
Scarus coeruleus,Blue parrotfish,Scaridae,"""Scarus coeruleus"""
Scarus ferrugineus,Rusty parrotfish,Scaridae,"""Scarus ferrugineus"""
Scarus forsteni,Forsten's parrotfish,Scaridae,"""Scarus forsteni"""
Scarus frenatus,Bridled parrotfish,Scaridae,"""Scarus frenatus"""
Scarus ghobban,Blue-barred parrotfish,Scaridae,"""Scarus ghobban"""
Scarus guacamaia,Rainbow parrotfish,Scaridae,"""Scarus guacamaia"""
Scarus iseri,Striped parrotfish,Scaridae,"""Scarus iseri"""
Scarus niger,Dusky parrotfish,Scaridae,"""Scarus niger"""
Scarus psittacus,Common parrotfish,Scaridae,"""Scarus psittacus"""
Scarus rivulatus,Rivulated parrotfish,Scaridae,"""Scarus rivulatus"""
Scarus rubroviolaceus,Ember parrotfish,Scaridae,"""Scarus rubroviolaceus"""
Scarus scaber,Fivesaddle parrotfish,Scaridae,"""Scarus scaber"""
Scarus schlegeli,Yellowband parrotfish,Scaridae,"""Scarus schlegeli"""
Scarus vetula,Queen parrotfish,Scaridae,"""Scarus vetula"""
Scatophagus argus,Spotted scat,Scatophagidae,"""Scatophagus argus"""
Schilbe intermedius,Silver catfish,Schilbeidae,"""Schilbe intermedius"""
Schilbe mandibularis,,Schilbeidae,"""Schilbe mandibularis"""
Schilbe mystus,African butter catfish,Schilbeidae,"""Schilbe mystus"""
Schilbe uranoscopus,,Schilbeidae,"""Schilbe uranoscopus"""
Schindleria praematura,Schindler's fish,Schindleriidae,"""Schindleria praematura"""
Schizopygopsis selincuoensis,Selincuo naked carp,Cyprinidae,"""Schizopygopsis selincuoensis"""
Schizopygopsis younghusbandi,,Cyprinidae,"""Schizopygopsis younghusbandi"""
Schizothorax curvifrons,Sattar snowtrout,Cyprinidae,"""Schizothorax curvifrons"""
Schizothorax oconnori,,Cyprinidae,"""Schizothorax oconnori"""
Schizothorax waltoni,,Cyprinidae,"""Schizothorax waltoni"""
Sciades couma,Couma sea catfish,Ariidae,"""Sciades couma"""
Sciades herzbergii,Pemecou sea catfish,Ariidae,"""Sciades herzbergii"""
Sciades parkeri,Gillbacker sea catfish,Ariidae,"""Sciades parkeri"""
Sciades proops,Crucifix sea catfish,Ariidae,"""Sciades proops"""
Sciades sona,Sona sea catfish,Ariidae,"""Sciades sona"""
Sciaena umbra,Brown meagre,Sciaenidae,"""Sciaena umbra"""
Sciaenops ocellatus,Red drum,Sciaenidae,"""Sciaenops ocellatus"""
Scoliodon laticaudus,Spadenose shark,Carcharhinidae,"""Scoliodon laticaudus"""
Scoliodon macrorhynchos,Pacific spadenose shark,Carcharhinidae,"""Scoliodon macrorhynchos"""
Scolopsis lineata,Striped monocle bream,Nemipteridae,"""Scolopsis lineata"""
Scolopsis taeniata,Black-streaked monocle bream,Nemipteridae,"""Scolopsis taeniata"""
Scolopsis taenioptera,Lattice monocle bream,Nemipteridae,"""Scolopsis taenioptera"""
Scomber australasicus,Blue mackerel,Scombridae,"""Scomber australasicus"""
Scomber colias,Atlantic chub mackerel,Scombridae,"""Scomber colias"""
Scomber japonicus,Chub mackerel,Scombridae,"""Scomber japonicus"""
Scomber scombrus,Atlantic mackerel,Scombridae,"""Scomber scombrus"""
Scomberesox saurus,Atlantic saury,Scomberesocidae,"""Scomberesox saurus"""
Scomberoides commersonnianus,Talang queenfish,Carangidae,"""Scomberoides commersonnianus"""
Scomberoides lysan,Doublespotted queenfish,Carangidae,"""Scomberoides lysan"""
Scomberoides tol,Needlescaled queenfish,Carangidae,"""Scomberoides tol"""
Scomberomorus brasiliensis,Serra Spanish mackerel,Scombridae,"""Scomberomorus brasiliensis"""
Scomberomorus cavalla,King mackerel,Scombridae,"""Scomberomorus cavalla"""
Scomberomorus commerson,Narrow-barred Spanish mackerel,Scombridae,"""Scomberomorus commerson"""
Scomberomorus guttatus,Indo-Pacific king mackerel,Scombridae,"""Scomberomorus guttatus"""
Scomberomorus lineolatus,Streaked seerfish,Scombridae,"""Scomberomorus lineolatus"""
Scomberomorus maculatus,Atlantic Spanish mackerel,Scombridae,"""Scomberomorus maculatus"""
Scomberomorus munroi,Australian spotted mackerel,Scombridae,"""Scomberomorus munroi"""
Scomberomorus niphonius,Japanese Spanish mackerel,Scombridae,"""Scomberomorus niphonius"""
Scomberomorus plurilineatus,Kanadi kingfish,Scombridae,"""Scomberomorus plurilineatus"""
Scomberomorus queenslandicus,Queensland school mackerel,Scombridae,"""Scomberomorus queenslandicus"""
Scomberomorus regalis,Cero,Scombridae,"""Scomberomorus regalis"""
Scomberomorus semifasciatus,Broad-barred king mackerel,Scombridae,"""Scomberomorus semifasciatus"""
Scomberomorus sierra,Pacific sierra,Scombridae,"""Scomberomorus sierra"""
Scomberomorus tritor,West African Spanish mackerel,Scombridae,"""Scomberomorus tritor"""
Scombrops boops,Gnomefish,Scombropidae,"""Scombrops boops"""
Scombrops gilberti,,Scombropidae,"""Scombrops gilberti"""
Scopelengys tristis,Pacific blackchin,Neoscopelidae,"""Scopelengys tristis"""
Scopelosaurus harryi,Scaly paperbone,Notosudidae,"""Scopelosaurus harryi"""
Scophthalmus aquosus,Windowpane flounder,Scophthalmidae,"""Scophthalmus aquosus"""
Scophthalmus maximus,Turbot,Scophthalmidae,"""Scophthalmus maximus"""
Scophthalmus rhombus,Brill,Scophthalmidae,"""Scophthalmus rhombus"""
Scorpaena cardinalis,Eastern red scorpionfish,Scorpaenidae,"""Scorpaena cardinalis"""
Scorpaena guttata,California scorpionfish,Scorpaenidae,"""Scorpaena guttata"""
Scorpaena loppei,Cadenat's rockfish,Scorpaenidae,"""Scorpaena loppei"""
Scorpaena maderensis,Madeira rockfish,Scorpaenidae,"""Scorpaena maderensis"""
Scorpaena notata,Small red scorpionfish,Scorpaenidae,"""Scorpaena notata"""
Scorpaena porcus,Black scorpionfish,Scorpaenidae,"""Scorpaena porcus"""
Scorpaena scrofa,Red scorpionfish,Scorpaenidae,"""Scorpaena scrofa"""
Scorpaenichthys marmoratus,Cabezon,Jordaniidae,"""Scorpaenichthys marmoratus"""
Scorpis aequipinnis,Sea sweep,Scorpididae,"""Scorpis aequipinnis"""
Scorpis lineolata,Silver sweep,Scorpididae,"""Scorpis lineolata"""
Scyliorhinus canicula,Lesser spotted dogfish,Scyliorhinidae,"""Scyliorhinus canicula"""
Scyris indica,Indian threadfish,Carangidae,"""Scyris indica"""
Sebastes aleutianus,Rougheye rockfish,Sebastidae,"""Sebastes aleutianus"""
Sebastes alutus,Pacific ocean perch,Sebastidae,"""Sebastes alutus"""
Sebastes atrovirens,Kelp rockfish,Sebastidae,"""Sebastes atrovirens"""
Sebastes borealis,Shortraker rockfish,Sebastidae,"""Sebastes borealis"""
Sebastes brevispinis,Silvergray rockfish,Sebastidae,"""Sebastes brevispinis"""
Sebastes carnatus,Gopher rockfish,Sebastidae,"""Sebastes carnatus"""
Sebastes caurinus,Copper rockfish,Sebastidae,"""Sebastes caurinus"""
Sebastes chlorostictus,Greenspotted rockfish,Sebastidae,"""Sebastes chlorostictus"""
Sebastes chrysomelas,Black-and-yellow rockfish,Sebastidae,"""Sebastes chrysomelas"""
Sebastes constellatus,Starry rockfish,Sebastidae,"""Sebastes constellatus"""
Sebastes crameri,Darkblotched rockfish,Sebastidae,"""Sebastes crameri"""
Sebastes diaconus,Deacon rockfish,Sebastidae,"""Sebastes diaconus"""
Sebastes elongatus,Greenstriped rockfish,Sebastidae,"""Sebastes elongatus"""
Sebastes emphaeus,Puget Sound rockfish,Sebastidae,"""Sebastes emphaeus"""
Sebastes fasciatus,Acadian redfish,Sebastidae,"""Sebastes fasciatus"""
Sebastes flavidus,Yellowtail rockfish,Sebastidae,"""Sebastes flavidus"""
Sebastes goodei,Chilipepper rockfish,Sebastidae,"""Sebastes goodei"""
Sebastes hopkinsi,Squarespot rockfish,Sebastidae,"""Sebastes hopkinsi"""
Sebastes inermis,,Sebastidae,"""Sebastes inermis"""
Sebastes jordani,Shortbelly rockfish,Sebastidae,"""Sebastes jordani"""
Sebastes levis,Cowcod,Sebastidae,"""Sebastes levis"""
Sebastes melanops,Black rockfish,Sebastidae,"""Sebastes melanops"""
Sebastes melanostomus,Blackgill rockfish,Sebastidae,"""Sebastes melanostomus"""
Sebastes mentella,Beaked redfish,Sebastidae,"""Sebastes mentella"""
Sebastes miniatus,Vermilion rockfish,Sebastidae,"""Sebastes miniatus"""
Sebastes minor,,Sebastidae,"""Sebastes minor"""
Sebastes mystinus,Blue rockfish,Sebastidae,"""Sebastes mystinus"""
Sebastes nebulosus,China rockfish,Sebastidae,"""Sebastes nebulosus"""
Sebastes norvegicus,Golden redfish,Sebastidae,"""Sebastes norvegicus"""
Sebastes ovalis,Speckled rockfish,Sebastidae,"""Sebastes ovalis"""
Sebastes pachycephalus,,Sebastidae,"""Sebastes pachycephalus"""
Sebastes paucispinis,Bocaccio rockfish,Sebastidae,"""Sebastes paucispinis"""
Sebastes pinniger,Canary rockfish,Sebastidae,"""Sebastes pinniger"""
Sebastes polyspinis,Northern rockfish,Sebastidae,"""Sebastes polyspinis"""
Sebastes proriger,Redstripe rockfish,Sebastidae,"""Sebastes proriger"""
Sebastes rastrelliger,Grass rockfish,Sebastidae,"""Sebastes rastrelliger"""
Sebastes reedi,Yellowmouth rockfish,Sebastidae,"""Sebastes reedi"""
Sebastes rosaceus,Rosy rockfish,Sebastidae,"""Sebastes rosaceus"""
Sebastes rosenblatti,Greenblotched rockfish,Sebastidae,"""Sebastes rosenblatti"""
Sebastes ruberrimus,Yelloweye rockfish,Sebastidae,"""Sebastes ruberrimus"""
Sebastes saxicola,Stripetail rockfish,Sebastidae,"""Sebastes saxicola"""
Sebastes schlegelii,Korean rockfish,Sebastidae,"""Sebastes schlegelii"""
Sebastes semicinctus,Halfbanded rockfish,Sebastidae,"""Sebastes semicinctus"""
Sebastes serranoides,Olive rockfish,Sebastidae,"""Sebastes serranoides"""
Sebastes steindachneri,,Sebastidae,"""Sebastes steindachneri"""
Sebastes taczanowskii,,Sebastidae,"""Sebastes taczanowskii"""
Sebastes variabilis,Light dusky rockfish,Sebastidae,"""Sebastes variabilis"""
Sebastes variegatus,Harlequin rockfish,Sebastidae,"""Sebastes variegatus"""
Sebastes viviparus,Norway redfish,Sebastidae,"""Sebastes viviparus"""
Sebastes zacentrus,Sharpchin rockfish,Sebastidae,"""Sebastes zacentrus"""
Sebastiscus marmoratus,False kelpfish,Sebastidae,"""Sebastiscus marmoratus"""
Sebastolobus alascanus,Shortspine thornyhead,Sebastidae,"""Sebastolobus alascanus"""
Sebastolobus altivelis,Longspine thornyhead,Sebastidae,"""Sebastolobus altivelis"""
Sebastolobus macrochir,Broadbanded thornyhead,Sebastidae,"""Sebastolobus macrochir"""
Selar boops,Oxeye scad,Carangidae,"""Selar boops"""
Selar crumenophthalmus,Bigeye scad,Carangidae,"""Selar crumenophthalmus"""
Selaroides leptolepis,Yellowstripe scad,Carangidae,"""Selaroides leptolepis"""
Selene brownii,Caribbean moonfish,Carangidae,"""Selene brownii"""
Selene dorsalis,African moonfish,Carangidae,"""Selene dorsalis"""
Selene setapinnis,Atlantic moonfish,Carangidae,"""Selene setapinnis"""
Semicossyphus pulcher,California sheephead,Labridae,"""Semicossyphus pulcher"""
Semotilus atromaculatus,Creek chub,Leuciscidae,"""Semotilus atromaculatus"""
Seriola dumerili,Greater amberjack,Carangidae,"""Seriola dumerili"""
Seriola lalandi,Yellowtail amberjack,Carangidae,"""Seriola lalandi"""
Seriola quinqueradiata,Japanese amberjack,Carangidae,"""Seriola quinqueradiata"""
Seriolella brama,Common warehou,Centrolophidae,"""Seriolella brama"""
Seriolella porosa,Choicy ruff,Centrolophidae,"""Seriolella porosa"""
Seriolella punctata,Silver warehou,Centrolophidae,"""Seriolella punctata"""
Seriphus politus,Queen croaker,Sciaenidae,"""Seriphus politus"""
Serranochromis angusticeps,Thinface cichlid,Cichlidae,"""Serranochromis angusticeps"""
Serranochromis macrocephalus,Purpleface largemouth,Cichlidae,"""Serranochromis macrocephalus"""
Serranochromis robustus,Yellow-belly bream,Cichlidae,"""Serranochromis robustus"""
Serranus atricauda,Blacktail comber,Serranidae,"""Serranus atricauda"""
Serranus cabrilla,Comber,Serranidae,"""Serranus cabrilla"""
Serranus hepatus,Brown comber,Serranidae,"""Serranus hepatus"""
Serranus scriba,Painted comber,Serranidae,"""Serranus scriba"""
Serranus subligarius,Belted sandfish,Serranidae,"""Serranus subligarius"""
Serrivomer sector,Sawtooth eel,Serrivomeridae,"""Serrivomer sector"""
Setipinna phasa,Gangetic hairfin anchovy,Engraulidae,"""Setipinna phasa"""
Setipinna taty,Scaly hairfin anchovy,Engraulidae,"""Setipinna taty"""
Siganus argenteus,Streamlined spinefoot,Siganidae,"""Siganus argenteus"""
Siganus canaliculatus,White-spotted spinefoot,Siganidae,"""Siganus canaliculatus"""
Siganus fuscescens,Mottled spinefoot,Siganidae,"""Siganus fuscescens"""
Siganus guttatus,Orange-spotted spinefoot,Siganidae,"""Siganus guttatus"""
Siganus lineatus,Golden-lined spinefoot,Siganidae,"""Siganus lineatus"""
Siganus luridus,Dusky spinefoot,Siganidae,"""Siganus luridus"""
